enter_dttm ;room_id ;id_card_no ;access_granted_flag 
2018-10-08 18:23:48.305738;club;-1126983263;TRUE
2018-10-08 23:15:22.227395;club;978627059;TRUE
2018-10-09 04:06:56.149052;club;483640555;TRUE
2018-10-09 08:58:30.070709;club;483640555;TRUE
2018-10-09 13:50:03.992366;club;-1371937124;TRUE
2018-10-09 18:41:37.914023;club;-1371937124;TRUE
2018-10-09 23:33:11.835680;club;-92430101;FALSE
2018-10-10 04:24:45.757337;club;978627059;TRUE
2018-10-10 09:16:19.678994;kds;318730417;TRUE
2018-10-10 14:07:53.600651;kds;1619079120;TRUE
2018-10-10 18:59:27.522308;kds;-1214866807;TRUE
2018-10-10 23:51:01.443965;kds;978627059;TRUE
2018-10-11 04:42:35.365622;kds;1126489962;TRUE
2018-10-11 09:34:09.287279;kds2;-1275787274;TRUE
2018-10-11 14:25:43.208936;kds2;-1275787274;TRUE
2018-10-11 19:17:17.130593;kds2;-97003698;TRUE
2018-10-12 00:08:51.052250;kds2;978627059;TRUE
2018-10-12 05:00:24.973907;kds2;-1371937124;TRUE
2018-10-12 09:51:58.895564;washing;483640555;TRUE
2018-10-12 14:43:32.817221;washing;483640555;TRUE
2018-10-12 19:35:06.738878;washing;1318803768;FALSE
2018-10-13 00:26:40.660535;washing;978627059;FALSE
2018-10-13 05:18:14.582192;washing;-1126983263;TRUE
2018-10-13 10:09:48.503849;washing;-1126983263;TRUE
2018-10-13 15:01:22.425506;washing;-1126983263;TRUE
2018-10-13 19:52:56.347163;washing;978627059;TRUE
2018-10-14 00:44:30.268820;vel;-47206062;TRUE
2018-10-14 05:36:04.190477;vel;-97003698;TRUE
2018-10-14 10:27:38.112134;vel;-97003698;TRUE
2018-10-14 15:19:12.033791;vel;483640555;TRUE
2018-10-14 20:10:45.955448;vel;1237582203;FALSE
2018-10-15 01:02:19.877105;vel;-1126983263;FALSE
2018-10-15 05:53:53.798762;vel;-1126983263;FALSE